"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MOUSER_TESTING_PART_NUMBER";"MOUSER_TESTING_PRICE-STOCK";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SPICEMODEL";"SPICEPREFIX";
"GND_SM2";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"GND_SM3";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"GND_SM4";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"GND_SM5";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"GND_SM6";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"GND_SPI/I2C";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"GP";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"GP_1";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"GP_LASER1";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"GP_LASER2";"PIN1-2";"PIN1-2";"62221";"CONN TAB FASTON BRASS .187 PCB";"";"";"";"";"";"";"";"TYCO ELECTRONICS";"";"";"";"";"";"62221-1";"unknown";"16H2318";"";"";"";"";"";"";
"IC1";"PIC24FJXXGA002/SO";"PIC24FJXXGA002/SO";"SO28W";"PIC24FJxxGA002";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC2";"317EMP";"317EMP";"SOT223";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC3";"MC74HC175ADG";"MC74HC175ADG";"SOIC127P600X175-16N";"ON Semiconductor MC74HC175ADG, D Type Flip Flop, LSTTL, 2  6 V, 16-Pin SOIC";"";"";"";"ON Semiconductor MC74HC175ADG, D Type Flip Flop, LSTTL, 2  6 V, 16-Pin SOIC";"1.75mm";"onsemi";"MC74HC175ADG";"";"863-MC74HC175ADG";"https://www.mouser.co.uk/ProductDetail/onsemi/MC74HC175ADG?qs=qg33o%252B8vzFoIlG2G0iHepQ%3D%3D";"";"";"";"";"";"";"";"";"";"";"";"";
